********************************************************************************
* Tue Dec 18 09:58:39 2012 UTC
* lumitype: PIXEL , datatag: pixelv0 , normtag: PIXELV1 , worktag: HEAD
* 
* by:
* /afs/cern.ch/work/m/mmerola/CMSSW_4_4_5/bin/slc5_amd64_gcc434/pixelLumiCalc.py
* 
* update: NONE
********************************************************************************
[WARNING] lumi or trg for selected run/ls 177141 626 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177141 627 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177141 628 not in lumiDB
 ==  = 
|    Run:Fill | Delivered LS |     Delivered |          Selected LS |      Recorded |
-------------------------------------------------------------------------------------
| 175832:2083 |           97 |   1.337 (/pb) |             [43-139] |   1.306 (/pb) |
| 175833:2083 |            3 |  40.163 (/nb) |                [1-3] |   2.036 (/nb) |
| 175835:2083 |          164 |   1.625 (/pb) |   [1-120], [122-165] |   1.563 (/pb) |
| 175837:2083 |          167 |   1.562 (/pb) |              [1-167] |   1.526 (/pb) |
| 175858:2085 |           21 | 479.762 (/nb) |               [1-21] | 406.860 (/nb) |
| 175860:2085 |           82 |   1.789 (/pb) |               [1-82] |   1.696 (/pb) |
| 175863:2085 |           75 |   1.537 (/pb) |               [1-75] |   1.458 (/pb) |
| 175865:2085 |           58 |   1.129 (/pb) |               [1-58] |   1.065 (/pb) |
| 175866:2085 |          509 |   8.691 (/pb) |   [1-353], [356-511] |   8.554 (/pb) |
| 175872:2086 |           31 |   1.557 (/pb) |              [60-90] |   1.435 (/pb) |
| 175873:2086 |           32 |   1.569 (/pb) |               [1-32] |   1.388 (/pb) |
| 175874:2086 |          106 |   4.934 (/pb) |     [1-33], [36-108] |   4.625 (/pb) |
| 175877:2086 |           69 |   2.806 (/pb) |               [1-69] |   2.646 (/pb) |
| 175881:2086 |          160 |   6.066 (/pb) |              [1-160] |   5.840 (/pb) |
| 175886:2086 |          280 |   9.548 (/pb) |              [1-280] |   9.260 (/pb) |
| 175887:2086 |          136 |   4.305 (/pb) |     [1-18], [21-138] |   4.131 (/pb) |
| 175888:2086 |          424 |  12.207 (/pb) |              [1-424] |  12.037 (/pb) |
| 175906:2090 |          113 |   7.090 (/pb) |             [79-191] |   6.243 (/pb) |
| 175910:2090 |            8 | 489.281 (/nb) |                [1-8] | 318.760 (/nb) |
| 175921:2091 |          360 |  22.060 (/pb) |             [64-423] |  21.437 (/pb) |
| 175973:2092 |          141 |   9.158 (/pb) | [126-183], [186-268] |   8.989 (/pb) |
| 175974:2092 |          124 |   7.477 (/pb) |              [1-124] |   7.256 (/pb) |
| 175975:2092 |          386 |  20.669 (/pb) |    [1-90], [93-101], |  20.090 (/pb) |
|             |              |               |            [104-390] |               |
| 175976:2092 |           94 |   4.575 (/pb) |     [1-33], [36-51], |   4.395 (/pb) |
|             |              |               |              [54-98] |               |
| 175990:2093 |          101 |   7.152 (/pb) |             [56-156] |   6.937 (/pb) |
| 176023:2094 |           85 |   6.195 (/pb) |             [44-128] |   6.058 (/pb) |
| 176161:2101 |           12 | 876.771 (/nb) |      [6-7], [13-14], | 787.035 (/nb) |
|             |              |               |              [16-23] |               |
| 176163:2101 |           61 |   4.257 (/pb) |        [1-4], [7-63] |   3.896 (/pb) |
| 176165:2101 |           29 |   1.960 (/pb) |               [1-29] |   1.717 (/pb) |
| 176167:2101 |            5 | 320.239 (/nb) |                [1-5] | 123.622 (/nb) |
| 176169:2101 |          133 |   8.089 (/pb) |              [1-133] |   7.791 (/pb) |
| 176201:2103 |          594 |  40.040 (/pb) |    [52-52], [54-55], |  39.007 (/pb) |
|             |              |               |    [58-58], [61-63], |               |
|             |              |               | [67-263], [265-570], |               |
|             |              |               |            [573-656] |               |
| 176202:2103 |          262 |  14.574 (/pb) |   [1-179], [182-264] |  14.236 (/pb) |
| 176206:2103 |          101 |   5.050 (/pb) |              [1-101] |   4.637 (/pb) |
| 176207:2103 |          226 |  10.963 (/pb) |              [1-226] |  10.736 (/pb) |
| 176286:2104 |          428 |  29.724 (/pb) | [55-224], [226-247], |  29.057 (/pb) |
|             |              |               | [250-252], [254-486] |               |
| 176289:2104 |           66 |   4.040 (/pb) |      [1-43], [46-68] |   3.861 (/pb) |
| 176304:2105 |          437 |  31.491 (/pb) |    [69-69], [73-73], |  30.778 (/pb) |
|             |              |               |   [77-77], [79-132], |               |
|             |              |               | [135-422], [425-516] |               |
| 176308:2105 |          289 |  16.737 (/pb) |    [1-45], [48-130], |  16.352 (/pb) |
|             |              |               |            [133-293] |               |
| 176309:2105 |         1629 |  67.185 (/pb) |    [1-84], [87-122], |  65.797 (/pb) |
|             |              |               |           [125-354], |               |
|             |              |               |           [356-467], |               |
|             |              |               |           [470-512], |               |
|             |              |               |           [514-627], |               |
|             |              |               |          [630-1177], |               |
|             |              |               |          [1180-1641] |               |
| 176467:2110 |          162 |  10.378 (/pb) |     [1-85], [88-164] |  10.030 (/pb) |
| 176468:2110 |          209 |  12.448 (/pb) |   [1-124], [126-210] |  12.043 (/pb) |
| 176469:2110 |            5 | 292.110 (/nb) |                [1-5] | 137.424 (/nb) |
| 176545:2117 |            1 |  76.896 (/nb) |                [5-5] |  18.468 (/nb) |
| 176547:2117 |          180 |  12.759 (/pb) |  [1-151], [154-172], |  12.223 (/pb) |
|             |              |               |            [175-184] |               |
| 176548:2117 |         1014 |  55.601 (/pb) |    [1-72], [75-387], |  54.085 (/pb) |
|             |              |               |           [390-487], |               |
|             |              |               |           [489-494], |               |
|             |              |               |           [496-575], |               |
|             |              |               |           [577-1021] |               |
| 176697:2124 |          294 |  22.094 (/pb) |    [50-66], [68-344] |  21.390 (/pb) |
| 176701:2124 |          145 |   9.387 (/pb) |              [1-145] |   9.038 (/pb) |
| 176702:2124 |          803 |  42.490 (/pb) |       [1-4], [6-42], |  41.356 (/pb) |
|             |              |               | [45-103], [105-284], |               |
|             |              |               |           [287-291], |               |
|             |              |               |           [294-351], |               |
|             |              |               |           [353-599], |               |
|             |              |               |           [622-684], |               |
|             |              |               |           [686-723], |               |
|             |              |               |           [726-794], |               |
|             |              |               | [796-799], [801-839] |               |
| 176765:2126 |           45 |   3.488 (/pb) |             [84-128] |   2.965 (/pb) |
| 176771:2127 |           93 |   7.540 (/pb) |    [57-60], [62-150] |   6.336 (/pb) |
| 176795:2129 |           68 |   5.487 (/pb) |             [38-105] |   4.798 (/pb) |
| 176796:2129 |           94 |   6.946 (/pb) |     [1-24], [31-100] |   6.511 (/pb) |
| 176797:2129 |          225 |  14.603 (/pb) |     [1-26], [33-89], |  14.087 (/pb) |
|             |              |               | [95-131], [136-196], |               |
|             |              |               | [203-237], [244-252] |               |
| 176799:2129 |          234 |  12.872 (/pb) |     [1-27], [30-35], |  12.074 (/pb) |
|             |              |               |             [38-238] |               |
| 176801:2129 |          244 |  11.460 (/pb) |    [1-92], [95-173], |  11.161 (/pb) |
|             |              |               | [176-177], [179-249] |               |
| 176805:2129 |           96 |   4.205 (/pb) |               [1-96] |   4.068 (/pb) |
| 176807:2129 |          452 |  18.223 (/pb) |    [1-74], [76-255], |  17.909 (/pb) |
|             |              |               |            [257-454] |               |
| 176841:2135 |          133 |   7.965 (/pb) |           [105-157], |   5.922 (/pb) |
|             |              |               |           [159-182], |               |
|             |              |               | [184-235], [238-241] |               |
| 176844:2135 |          108 |   5.777 (/pb) |              [1-108] |   5.414 (/pb) |
| 176848:2135 |           25 |   1.325 (/pb) |               [1-25] |   1.147 (/pb) |
| 176850:2135 |          299 |  14.615 (/pb) |     [1-29], [32-301] |  14.218 (/pb) |
| 176860:2135 |          445 |  18.937 (/pb) |    [1-78], [81-271], |  18.470 (/pb) |
|             |              |               | [273-335], [338-450] |               |
| 176868:2135 |          494 |  17.983 (/pb) |              [1-494] |  17.733 (/pb) |
| 176885:2138 |          158 |  11.010 (/pb) |  [67-152], [164-235] |  10.687 (/pb) |
| 176886:2138 |          668 |  37.142 (/pb) |  [1-335], [337-416], |  35.856 (/pb) |
|             |              |               |           [418-425], |               |
|             |              |               |           [427-429], |               |
|             |              |               |           [431-499], |               |
|             |              |               |           [502-503], |               |
|             |              |               |           [505-505], |               |
|             |              |               |           [507-507], |               |
|             |              |               | [509-514], [516-678] |               |
| 176889:2138 |           92 |   4.298 (/pb) |      [1-81], [83-93] |   4.091 (/pb) |
| 176928:2140 |          119 |   8.652 (/pb) |    [1-99], [102-121] |   8.062 (/pb) |
| 176929:2140 |          314 |  19.897 (/pb) |    [1-59], [62-198], |  19.240 (/pb) |
|             |              |               | [201-218], [221-320] |               |
| 176933:2140 |          431 |  22.224 (/pb) |    [1-71], [73-358], |  21.411 (/pb) |
|             |              |               | [361-415], [418-436] |               |
| 176959:2143 |           14 |   1.000 (/pb) |              [17-30] | 938.489 (/nb) |
| 176982:2144 |            7 | 403.059 (/nb) |                [1-7] | 246.867 (/nb) |
| 177053:2147 |          664 |  39.075 (/pb) |    [54-72], [74-87], |  38.109 (/pb) |
|             |              |               | [90-208], [211-217], |               |
|             |              |               |           [219-258], |               |
|             |              |               |           [260-380], |               |
|             |              |               |           [385-427], |               |
|             |              |               |           [429-570], |               |
|             |              |               | [573-709], [712-733] |               |
| 177074:2150 |          709 |  40.584 (/pb) | [52-120], [123-468], |  39.493 (/pb) |
|             |              |               |           [470-554], |               |
|             |              |               | [556-735], [737-765] |               |
| 177088:2151 |           36 |   2.436 (/pb) |     [57-83], [85-93] |   2.306 (/pb) |
| 177095:2152 |          155 |   9.676 (/pb) |  [49-111], [113-204] |   9.182 (/pb) |
| 177096:2152 |          185 |  10.298 (/pb) |     [1-14], [17-187] |   9.745 (/pb) |
| 177131:2155 |           89 |   6.749 (/pb) |             [49-137] |   6.615 (/pb) |
| 177138:2156 |           59 |   4.338 (/pb) |    [55-57], [59-114] |   4.086 (/pb) |
| 177139:2156 |          621 |  38.124 (/pb) |  [1-206], [208-249], |  36.752 (/pb) |
|             |              |               |           [252-335], |               |
|             |              |               | [337-375], [378-627] |               |
| 177140:2156 |          554 |  27.002 (/pb) |  [1-106], [108-492], |  26.158 (/pb) |
|             |              |               |            [495-557] |               |
| 177141:2156 |          620 |  25.431 (/pb) |    [1-57], [59-154], |  24.936 (/pb) |
|             |              |               |           [157-288], |               |
|             |              |               | [290-492], [494-625] |               |
| 177183:2157 |          213 |  16.000 (/pb) |    [4-74], [76-199], |  15.427 (/pb) |
|             |              |               |            [202-219] |               |
| 177184:2157 |           34 |   2.351 (/pb) |      [1-12], [15-36] |   2.126 (/pb) |
| 177201:2158 |          723 |  45.559 (/pb) |    [60-65], [68-73], |  44.724 (/pb) |
|             |              |               | [75-212], [215-334], |               |
|             |              |               |           [337-516], |               |
|             |              |               |           [519-603], |               |
|             |              |               | [606-621], [623-794] |               |
| 177222:2160 |          287 |  20.258 (/pb) |             [50-336] |  19.639 (/pb) |
| 177317:2165 |           60 |   4.510 (/pb) |               [1-60] |   4.223 (/pb) |
| 177318:2165 |          400 |  26.925 (/pb) |  [1-236], [238-257], |  26.142 (/pb) |
|             |              |               | [259-369], [372-404] |               |
| 177319:2165 |          359 |  19.996 (/pb) |    [1-54], [56-224], |  19.472 (/pb) |
|             |              |               |           [227-286], |               |
|             |              |               | [289-351], [354-366] |               |
| 177449:2168 |          375 |  27.567 (/pb) |   [56-80], [83-234], |  26.835 (/pb) |
|             |              |               | [236-392], [394-434] |               |
| 177452:2168 |          156 |   9.769 (/pb) |              [1-156] |   9.432 (/pb) |
| 177718:2177 |         1572 |  87.222 (/pb) |   [53-62], [64-482], |  85.440 (/pb) |
|             |              |               |           [485-656], |               |
|             |              |               |           [659-697], |               |
|             |              |               |           [699-701], |               |
|             |              |               |           [703-703], |               |
|             |              |               |          [706-1572], |               |
